Date Time,Elapsed,UT,UT,UT,E,E,E,E,R,R,R,R,C,C,C,C,X,X,X,T,T,T,D,D,D,ER,ER,ER,EC,EC,EC,EX,EX,EX,ET,ET,ED,ED,ED,
1/24/23 21:31,340,0.2609717,0.2537111,0.2432822,0.4730818,0.2328886,0.3531082,0.2747611,0.2330886,0.1916839,0.2065953,0.2186416,0.03498211,0.01094831,0.013922,0.01771286,0.08706078,0.09525751,0.09110872,0.3481899,0.2924129,0.3572181,0.02559566,0.01941752,0.02362807,0.5344422,0.58896,0.4556178,0.06618407,0.04320091,0.01546875,0.0712887,0.1348582,0.14709,0.8977695,0.6252768,0.03739965,0.000890359,0.002693627,
1/25/23 1:31,344,0.2837161,0.2728829,0.2624896,0.4865817,0.2551972,0.4159606,0.2952715,0.2712626,0.2113004,0.2227528,0.2353754,0.04535857,0.01414866,0.01720232,0.02195903,0.09525578,0.1064482,0.09940055,0.3584421,0.3038711,0.3808029,0.03016195,0.02226587,0.0357535,0.5400723,0.5637228,0.4654526,0.082957,0.04936294,0.01904928,0.1077313,0.1378175,0.1523208,0.8795634,0.6304805,0.01379535,0.03983187,0.03983187,
1/25/23 5:31,348,0.2960052,0.2606321,0.2684266,0.4818022,0.2493059,0.3843051,0.2868472,0.2821527,0.2255791,0.2395342,0.2431958,0.05351172,0.01776467,0.01949534,0.0237871,0.1058785,0.1131714,0.1078322,0.3734107,0.3119397,0.3963155,0.03733983,0.02420916,0.04038292,0.5074636,0.588232,0.4933449,0.09978962,0.06599423,0.03104198,0.1478407,0.1360057,0.1614058,0.8460169,0.6502248,0.004452856,0.004452856,0.004452856,
1/25/23 9:31,352,0.3001075,0.2862108,0.264801,0.4887059,0.2261355,0.3532761,0.2706823,0.2877258,0.2395807,0.2481072,0.2505224,0.05829357,0.0206892,0.02283209,0.02857506,0.1039815,0.1128051,0.1060526,0.375643,0.3111635,0.3919193,0.04345901,0.0360593,0.04530848,0.514031,0.5159603,0.4273692,0.09534245,0.07292689,0.03716478,0.1713957,0.1267227,0.1600422,0.7957432,0.6374198,0.001663587,0.001663587,0.001663587,
1/25/23 13:31,356,0.2979317,0.2913289,0.26683,0.4696093,0.2516604,0.3422728,0.2540902,0.2837825,0.2470455,0.252652,0.2543654,0.0625605,0.02608556,0.02739175,0.03379663,0.1065429,0.1166592,0.1111032,0.3873844,0.3147146,0.3786909,0.04346031,0.04210479,0.04998492,0.5224491,0.5019348,0.4212254,0.09003147,0.07227793,0.0366171,0.1185243,0.1425948,0.1580877,0.767655,0.630502,0.02054328,0.02054328,0.01344623,
1/25/23 17:31,360,0.308348,0.2971961,0.2727129,0.4665243,0.2390785,0.3248625,0.2418386,0.276437,0.2457907,0.2549734,0.2534056,0.06420156,0.03126157,0.03230261,0.03938202,0.1111913,0.1183697,0.1177712,0.3783488,0.298274,0.3572891,0.04865998,0.05112624,0.05054773,0.4891624,0.4808691,0.3946854,0.08616293,0.06939615,0.03494489,0.09247668,0.1253654,0.1606048,0.7420369,0.6507328,0.01998393,0.00099399,0.01356884,
1/25/23 21:31,364,0.3231611,0.3147362,0.2883259,0.5156379,0.2346989,0.3183747,0.2350909,0.2783428,0.258033,0.266449,0.271214,0.07139269,0.03761772,0.03716369,0.04624027,0.1251997,0.1364098,0.1300303,0.3792495,0.3029342,0.3463406,0.05371805,0.05738551,0.05291542,0.4968866,0.5044345,0.3693375,0.08282793,0.0706675,0.03377132,0.1275141,0.138685,0.1745865,0.7283336,0.6124772,0.01096935,0.002682451,0.0040805,
1/26/23 1:31,368,0.3262403,0.3211123,0.2918825,0.5808223,0.2534475,0.3042589,0.247072,0.255592,0.2557695,0.2668686,0.2669226,0.07317946,0.04007269,0.03847121,0.04898974,0.1289162,0.1359782,0.1294149,0.3739184,0.3071284,0.3453567,0.0549718,0.06004914,0.05472152,0.4708771,0.5023972,0.3780187,0.08203618,0.07053082,0.03291109,0.1203696,0.1383207,0.1483946,0.7009888,0.5872872,0.01128278,0.003549353,0.02173217,
1/26/23 5:31,372,0.3362244,0.3217969,0.294985,0.5822859,0.2258606,0.2884923,0.227906,0.2490162,0.2626155,0.2709499,0.269033,0.07656939,0.04489625,0.0415713,0.05239189,0.1346283,0.1452235,0.1366565,0.3611097,0.2947528,0.3404648,0.0534794,0.05720578,0.05337663,0.4504038,0.4802911,0.3734049,0.08726662,0.06902616,0.03161125,0.1209544,0.140998,0.1702688,0.6950176,0.5972973,0.0175326,0.02939957,0.02939957,
1/26/23 9:31,376,0.343237,0.3249925,0.2993229,0.5143882,0.1862365,0.2557921,0.1914975,0.2448987,0.267902,0.2752893,0.2755785,0.07875373,0.04740278,0.04472861,0.05415763,0.1372479,0.1516539,0.1415431,0.3413972,0.2752503,0.3265982,0.04662808,0.05669558,0.05304734,0.435141,0.4759766,0.3907226,0.08277967,0.0792776,0.03324232,0.1906931,0.1373197,0.1882427,0.641985,0.5964783,0.01648997,0.02448556,0.02448556,
