Date Time,Elapsed,UT,UT,UT,UT,UT,UT,UT,UT,UT,UT,UT,UT,UT,E,E,E,E,EA,EA,EA,EA,EA,EA,EA,EA,EA,EA
12/4/22 19:02,268,4.64E-05,0.001851147,5.14E-05,0.01286827,0.009129205,0.009079203,0.00638542,0.03804418,0.04159608,0.04352595,0.03833421,0.03592547,0.03139314,0.2691818,0.3239859,0.3336447,0.1987344,0.340905,0.4175846,0.2633931,0.400468,0.401291,0.419045,0.2848719,0.3710958,0.5239947,0.6180268
12/4/22 23:02,272,5.58E-05,0.0018221,5.20E-05,0.01232353,0.009537382,0.01027661,0.007569815,0.04036913,0.04483445,0.02806774,0.02850938,0.03024943,0.03712282,0.2788984,0.3192751,0.2997073,0.2006643,0.3366741,0.4185675,0.2652323,0.4022818,0.4014174,0.406669,0.295386,0.3718053,0.5688367,0.576786
12/5/22 3:02,276,5.19E-05,0.001876486,5.16E-05,0.01377962,0.01049781,0.009708188,0.00741378,0.03895166,0.05055598,0.06426781,0.04634181,0.02907626,0.03172439,0.2859964,0.3131145,0.3034068,0.2044332,0.3335018,0.4160904,0.2546003,0.4076533,0.4039805,0.4248628,0.3084424,0.3701319,0.5175785,0.576757
12/5/22 7:02,280,5.36E-05,0.001877091,5.15E-05,0.01357822,0.01036289,0.01059708,0.006518127,0.04072952,0.04037052,0.05898936,0.03538482,0.02570936,0.04077796,0.2917429,0.3327965,0.3079155,0.2121333,0.3309373,0.4192446,0.2567323,0.4093996,0.4088678,0.4206437,0.3125733,0.3689041,0.5222694,0.6657539
12/5/22 11:02,284,5.08E-05,0.001922933,5.12E-05,0.01346898,0.009775326,0.01088398,0.007000658,0.03938076,0.05299278,0.04742558,0.04905388,0.02510749,0.03981995,0.3008394,0.3434215,0.30757,0.2132378,0.333359,0.4208992,0.2614867,0.4026003,0.4033887,0.4191948,0.3202017,0.3628151,0.5815482,0.62869
12/5/22 15:02,288,6.98E-05,0.001962327,6.06E-05,0.01352213,0.01053574,0.01024536,0.008856013,0.03907492,0.04433842,0.06209333,0.06714562,0.03310552,0.04272798,0.2929899,0.3350436,0.3152412,0.200607,0.3306086,0.4176342,0.2659523,0.3980611,0.4009812,0.4339877,0.3291797,0.357899,0.5403428,0.61084
12/5/22 19:02,292,7.09E-05,0.001989745,5.34E-05,0.0140006,0.01096459,0.01043931,0.009106666,0.04019779,0.04539933,0.06184797,0.03432443,0.03749143,0.03567676,0.2821737,0.3379043,0.3320511,0.2053939,0.3269157,0.4202389,0.2646277,0.3950999,0.3973826,0.4230573,0.333461,0.3497065,0.6233962,0.6107196
12/5/22 23:02,296,7.08E-05,0.002049014,5.91E-05,0.01434268,0.01067477,0.009056207,0.01021422,0.03937704,0.04717778,0.0637773,0.04218454,0.03483538,0.04173613,0.2874217,0.3490846,0.3385167,0.2190878,0.320118,0.4172643,0.2705358,0.3864522,0.3918904,0.4299909,0.3428389,0.3403158,0.5731748,0.6240385
12/6/22 3:02,300,5.99E-05,0.002106291,6.08E-05,0.0140117,0.01199809,0.00951157,0.01091514,0.04129716,0.04833273,0.04762277,0.0568481,0.04051729,0.04517095,0.2817684,0.3604812,0.3448204,0.2179987,0.3119466,0.4137563,0.258079,0.3807479,0.3868562,0.4398194,0.3396885,0.3304969,0.4900491,0.6403691
12/6/22 7:02,304,5.55E-05,0.002080629,4.26E-05,0.01489062,0.01282343,0.009513749,0.01278011,0.04038679,0.0478645,0.06178797,0.0304759,0.03791711,0.03612499,0.2572348,0.3646238,0.3490079,0.2165552,0.3057747,0.4119812,0.2768662,0.3670885,0.3812875,0.4446289,0.3375849,0.3234462,0.5297344,0.6612978
